@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
0.75,0,0.133333,0.970248,South
0.75,0,0.2,0.968595,South
0.75,0.066667,0.133333,0.966942,North
0.75,0.133333,0.133333,0.965289,North
0.8125,0.133333,0.066667,0.963636,East
0.6875,0.466667,0.133333,0.031405,Stop
0.6875,0.533333,0.133333,0.029752,North
0.6875,0.6,0,0.028099,North
0.6875,0.666667,0.4,0.357025,North
0.6875,0.6,0.266667,0.355372,South
0.625,0.6,0.266667,0.353719,West
0.5625,0.6,0.266667,0.352066,West
0.5,0.6,0.266667,0.350413,West
0.4375,0.6,0.133333,0.34876,West
0.375,0.6,0.133333,0.347107,West
0.375,0.533333,0.133333,0.345455,South
0.375,0.6,0.133333,0.343802,North
0.375,0.533333,0.133333,0.342149,South
0.375,0.6,0.133333,0.340496,North
0.3125,0.6,0.133333,0.338843,West
0.3125,0.666667,0.066667,0.33719,North
0.3125,0.733333,0.066667,0.335537,North
0.25,0.733333,0.066667,0.333884,West
0.1875,0.733333,0.733333,0.66281,West
0.1875,0.666667,0.6,0.661157,South
0.125,0.666667,0.6,0.659504,West
0.125,0.6,0.533333,0.657851,South
0.125,0.533333,0.4,0.656198,South
0.125,0.466667,0.266667,0.654545,South
0.125,0.4,0.2,0.652893,South
0.125,0.333333,0.066667,0.65124,South
0.125,0.266667,0.6,0.980165,South
0.125,0.333333,0.6,0.978512,North
0.125,0.4,0.6,0.97686,North
0.125,0.466667,0.533333,0.975207,North
0.125,0.533333,0.466667,0.973554,North
0.1875,0.533333,0.4,0.971901,East
0.25,0.533333,0.4,0.970248,East
0.25,0.6,0.4,0.968595,North
0.25,0.533333,0.4,0.966942,South
0.3125,0.533333,0.266667,0.965289,East
0.375,0.533333,0.266667,0.963636,East
0.4375,0.533333,0.266667,0.961983,East
0.4375,0.466667,0.2,0.960331,South
0.5,0.466667,0.2,0.958678,East
0.5,0.533333,0.133333,0.957025,North
0.5625,0.533333,0,0.955372,East
0.6875,0.466667,0.133333,0.031405,Stop
0.6875,0.533333,0.066667,0.029752,North
0.6875,0.6,0.4,0.358678,North
0.625,0.6,0.333333,0.357025,West
0.5625,0.6,0.333333,0.355372,West
0.5625,0.666667,0.333333,0.353719,North
0.5625,0.6,0.333333,0.352066,South
0.5625,0.533333,0.2,0.350413,South
0.5,0.533333,0.133333,0.34876,West
0.4375,0.533333,0.066667,0.347107,West
0.375,0.533333,0.066667,0.345455,West
0.3125,0.533333,0.066667,0.343802,West
0.25,0.533333,0.066667,0.342149,West
0.25,0.466667,0,0.340496,South
0.1875,0.466667,1,1,West
0.1875,0.4,0.933333,0.998347,South
0.1875,0.333333,0.933333,0.996694,South
0.1875,0.266667,0.933333,0.995041,South
0.1875,0.2,0.933333,0.993388,South
0.1875,0.133333,0.933333,0.991736,South
0.1875,0.2,0.933333,0.990083,North
0.1875,0.266667,0.8,0.98843,North
0.1875,0.266667,0.733333,0.986777,North
0.1875,0.266667,0.8,0.985124,North
0.1875,0.333333,0.666667,0.983471,North
0.25,0.333333,0.533333,0.981818,East
0.3125,0.333333,0.533333,0.980165,East
0.375,0.333333,0.466667,0.978512,East
0.4375,0.333333,0.333333,0.97686,East
0.5,0.333333,0.266667,0.975207,East
0.5625,0.333333,0.266667,0.973554,East
0.625,0.333333,0.2,0.971901,East
0.6875,0.333333,0.2,0.970248,East
0.75,0.333333,0.2,0.968595,East
0.75,0.4,0.133333,0.966942,North
0.75,0.466667,0.133333,0.965289,North
0.75,0.533333,0.066667,0.963636,North
