@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
3,5,2,13,26,East
4,5,2,11,27,East
5,5,2,9,28,East
6,5,2,9,29,East
7,5,2,7,30,East
8,5,2,7,31,East
8,6,2,6,32,North
8,7,2,4,33,North
9,7,2,4,34,East
9,8,2,3,35,North
10,8,2,2,36,East
10,8,2,3,37,East
10,7,2,2,38,South
10,7,2,3,39,South
10,8,2,3,40,North
10,8,2,3,41,North
10,8,2,4,42,North
10,9,2,3,43,North
11,9,2,3,44,East
12,9,2,3,45,East
13,9,2,2,46,East
14,9,2,2,47,East
15,9,2,2,48,East
16,9,2,2,49,East
16,8,1,5,50,South
16,9,1,3,51,North
15,9,1,1,52,West
1,11,4,7,0,Stop
1,10,4,6,1,South
1,9,4,5,2,South
2,9,4,5,3,East
3,9,4,5,4,East
4,9,4,3,5,East
5,9,4,1,6,East
6,9,3,2,7,East
6,10,2,7,8,North
6,9,2,5,9,South
6,8,2,3,10,South
6,7,2,3,11,South
7,7,2,5,12,East
6,7,2,3,13,West
5,7,2,2,14,West
6,7,2,3,15,East
5,7,2,2,16,West
6,7,2,4,17,East
5,7,2,4,18,West
4,7,2,4,19,West
5,7,2,5,20,East
4,7,2,3,21,West
5,7,2,3,22,East
4,7,2,3,23,West
3,7,2,2,24,West
4,7,2,2,25,East
5,7,2,4,26,East
4,7,2,2,27,West
5,7,2,4,28,East
4,7,2,4,29,West
3,7,2,3,30,West
4,7,2,5,31,East
3,7,2,5,32,West
2,7,2,3,33,West
3,7,2,3,34,East
2,7,2,2,35,West
3,7,2,4,36,East
2,7,2,4,37,West
1,7,2,4,38,West
1,6,2,3,39,South
1,5,2,1,40,South
1,4,1,16,41,South
2,4,1,14,42,East
3,4,1,14,43,East
4,4,1,14,44,East
5,4,1,14,45,East
6,4,1,12,46,East
6,3,1,12,47,South
7,3,1,10,48,East
7,4,1,10,49,North
8,4,1,8,50,East
8,3,1,8,51,South
8,4,1,6,52,North
9,4,1,6,53,East
10,4,1,6,54,East
11,4,1,4,55,East
11,5,1,4,56,North
12,5,1,3,57,East
13,5,1,3,58,East
14,5,1,3,59,East
14,4,1,1,60,South
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,6,2,South
2,9,4,6,3,East
3,9,4,6,4,East
4,9,4,4,5,East
5,9,4,3,6,East
5,10,4,3,7,North
5,11,4,2,8,North
6,11,4,1,9,East
7,11,3,4,10,East
8,11,3,4,11,East
9,11,3,4,12,East
10,11,3,5,13,East
10,10,3,5,14,South
10,9,3,4,15,South
10,8,3,3,16,South
10,7,3,2,17,South
10,6,3,2,18,South
10,5,2,8,19,South
10,6,2,8,20,North
10,7,2,6,21,North
9,7,2,6,22,West
8,7,2,4,23,West
7,7,2,4,24,West
6,7,2,4,25,West
6,8,2,2,26,North
5,8,2,2,27,West
5,9,2,2,28,North
5,8,2,2,29,South
4,8,2,2,30,West
4,7,1,12,31,South
5,7,1,12,32,East
6,7,1,12,33,East
7,7,1,11,34,East
8,7,1,9,35,East
8,6,1,7,36,South
8,5,1,5,37,South
9,5,1,5,38,East
10,5,1,3,39,East
11,5,1,3,40,East
12,5,1,3,41,East
13,5,1,1,42,East
13,4,1,3,43,South
13,5,1,3,44,North
14,5,1,3,45,East
14,6,1,2,46,North
14,7,1,2,47,North
15,7,1,2,48,East
15,8,1,2,49,North
14,8,1,2,50,West
1,11,4,7,0,Stop
1,10,4,6,1,South
1,9,4,4,2,South
2,9,4,4,3,East
2,8,4,3,4,South
3,8,4,3,5,East
3,9,4,3,6,North
3,8,4,1,7,South
4,8,3,5,8,East
4,7,3,3,9,South
5,7,3,2,10,East
6,7,3,4,11,East
5,7,3,3,12,West
6,7,3,5,13,East
5,7,3,5,14,West
4,7,3,3,15,West
5,7,3,3,16,East
4,7,3,3,17,West
5,7,3,2,18,East
6,7,3,4,19,East
5,7,3,3,20,West
6,7,3,4,21,East
5,7,3,4,22,West
4,7,3,4,23,West
5,7,3,2,24,East
6,7,3,4,25,East
5,7,3,4,26,West
6,7,3,3,27,East
6,8,3,1,28,North
6,9,2,9,29,North
6,8,2,7,30,South
6,7,2,5,31,South
5,7,2,4,32,West
4,7,2,4,33,West
3,7,2,3,34,West
4,7,2,4,35,East
3,7,2,4,36,West
4,7,2,2,37,East
5,7,2,2,38,East
6,7,2,4,39,East
5,7,2,4,40,West
4,7,2,4,41,West
5,7,2,4,42,East
4,7,2,3,43,West
5,7,2,4,44,East
4,7,2,4,45,West
5,7,2,4,46,East
6,7,2,4,47,East
7,7,2,6,48,East
6,7,2,4,49,West
5,7,2,3,50,West
6,7,2,3,51,East
7,7,2,3,52,East
6,7,2,3,53,West
7,7,2,4,54,East
6,7,2,2,55,West
7,7,2,4,56,East
6,7,2,3,57,West
5,7,2,2,58,West
6,7,2,4,59,East
5,7,2,4,60,West
6,7,2,4,61,East
7,7,2,4,62,East
6,7,2,4,63,West
7,7,2,2,64,East
8,7,2,4,65,East
8,6,2,4,66,South
8,5,2,3,67,South
8,4,2,3,68,South
8,3,2,3,69,South
7,3,2,1,70,West
