@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,22,24-weka.filters.supervised.attribute.ClassOrder-R1-C0'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute g1Living {True,False}
@attribute g2Living {True,False}
@attribute g3Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1X numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g3Y numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g3D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
23,9,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,538,North
23,10,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,537,North
22,10,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,536,West
21,10,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,535,West
20,10,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,8,534,West
20,11,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,533,North
20,12,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,532,North
20,13,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,531,North
20,14,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,530,North
20,15,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,529,North
21,15,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,528,East
22,15,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,527,East
23,15,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,4,526,East
24,15,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,3,525,East
24,14,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,2,524,South
24,14,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,2,523,South
25,14,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,1,522,East
1,13,20,True,True,True,True,4,7,5,13,3,14,11,15,6,14,22,15,21,0,Stop
1,13,20,True,True,True,True,4,7,5,12,3,14,11,15,6,14,21,15,21,-1,Stop
1,13,20,True,True,True,True,4,7,5,11,3,15,11,15,6,14,20,16,21,-2,Stop
1,13,20,True,True,True,True,4,7,5,12,3,16,11,16,6,14,21,17,22,-3,Stop
2,13,20,True,True,True,True,4,7,5,11,3,15,11,17,6,13,19,15,22,-4,East
3,13,20,True,True,True,True,4,7,5,10,3,14,11,18,6,12,17,13,22,-5,East
4,13,20,True,True,True,True,4,6,5,10,3,13,11,18,5,10,16,11,22,-6,East
