@relation pacman_info-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute x numeric
@attribute y numeric
@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
0,0.666667,0.185185,0.3125,0,0.136364,0.874183,West
0,0.666667,0.148148,0.3125,0,0.045455,0.872549,West
0,0.666667,0.148148,0.25,0,0.045455,0.870915,South
0,0.666667,0.148148,0.1875,0,0.045455,0.869281,South
0,0.666667,0.148148,0.125,0,0.136364,0.867647,South
0,0.666667,0.185185,0.125,0,0.136364,0.866013,East
0,0.666667,0.222222,0.125,0,0.045455,0.864379,East
0,0.666667,0.222222,0.1875,0,0.045455,0.862745,North
0,0.666667,0.222222,0.25,0,0,0.861111,North
0,0.666667,0.222222,0.3125,0,0,0.859477,North
0,0.666667,0.259259,0.3125,0,0.045455,0.857843,East
0,0.666667,0.296296,0.3125,0,0.045455,0.856209,East
0,0.666667,0.407407,0.5,1,0.090909,0.053922,Stop
0,0.666667,0.407407,0.5,1,0.090909,0.052288,Stop
0,0.666667,0.407407,0.5,1,0.136364,0.050654,Stop
0,0.666667,0.407407,0.5,1,0.090909,0.04902,Stop
0,0.666667,0.407407,0.5,1,0.090909,0.047386,Stop
0,0.666667,0.407407,0.5,1,0.045455,0.045752,Stop
0,0.666667,0.407407,0.5,1,0.090909,0.044118,Stop
0,0.666667,0.444444,0.5,1,0.045455,0.042484,East
0,0.666667,0.444444,0.5625,1,0.045455,0.04085,North
0,0.666667,0.444444,0.625,1,0.045455,0.039216,North
0,0.666667,0.481481,0.625,1,0.090909,0.037582,East
0,0.666667,0.481481,0.5625,1,0,0.035948,South
0,0.666667,0.444444,0.5625,0.666667,0.090909,0.361111,West
0,0.666667,0.407407,0.5625,0.666667,0.090909,0.359477,West
0,0.666667,0.37037,0.5625,0.666667,0.090909,0.357843,West
0,0.666667,0.333333,0.5625,0.666667,0,0.356209,West
0,0.666667,0.296296,0.5625,0.333333,0.272727,0.681373,West
0,0.666667,0.296296,0.5,0.333333,0.272727,0.679739,South
0,0.666667,0.296296,0.4375,0.333333,0.272727,0.678105,South
0,0.666667,0.296296,0.375,0.333333,0.227273,0.676471,South
0,0.666667,0.296296,0.3125,0.333333,0.181818,0.674837,South
0,0.666667,0.259259,0.3125,0.333333,0.181818,0.673203,West
0,0.666667,0.222222,0.3125,0.333333,0.181818,0.671569,West
0,0.666667,0.185185,0.3125,0.333333,0.090909,0.669935,West
